q258yjg2,Perfect Ending
7kjgwnk3,Japanese
xd1mjmzd,Amateur Circuit
zdn14pxk,100%
vdo58j1k,Solo
9kvxg32g,100%
824p6pw2,Restricted Cheat%
mke9068d,Arcade
w20pjw5k,Pizza%
7dg5eng2,Inphyy
7kjo4642,SNES
zd304lrd,Best Lap
zdn5redq,Low%
jdr7gy02,Rowing Crew
jdzv14xk,Heroes in Another Dimension
zd3ovnnd,Any% - Three Hole Check
02q36pky,Extra Mushroom Cup
zdn1qqek,Ending 4
5dwn00dg,Warpless
4xk9wy20,Tails: Beat The Game
q25qrpw2,Venus
w20zp85d,Jupiter
9kv7x93k,Mastery
8241xz32,All Races
5dw3vg2g,Goofy
jdr9mzld,Songs for the Dead
9d8ezqld,Freedom
7kjp0nnk,Regular Game
vdo34v6d,IM Easy
02ql61pk,Challenge Road
q25ow8gk,Normal Mission
lvdo8ykp,Any%
q253038k,100%
xd1r4vrk,Low%
z273yr4d,Jungle RTA
zd37zv2n,Warpless
r02qpjdy,105%
vdo14go2,Bidoof%
rkln9w2n,100%
ndxepokq,Any% Difficult
824xq9wd,Yoshi Eggs
xd11554d,Glitchless 100%
xd117jzd,Any% - PAL
jdz5w7gd,Any%
wdm9q5ek,Single Track
wdmqlee2,All Rounds
z27rqz0d,Arcade
jdr18x26,Any%
jdrqjlxk,Speedrun
xd1g9w8d,Chapter 2 Normal
rkle9482,00 Agent
824xl03d,100% (US)
wdmer32q,Game Gear
zd3ymr2n,Any%
w20zl5jd,Any%
xk9j86d0,Story Mode
z27rzgd0,Mushroom Cup
9kvj390k,New Game Easy
5dw7g6ek,100% [PC/DC/N64]
n2yw3zko,Normal + Hard Mode
vdog862p,Frightmare
wdm6p5xk,Exalt Tutorial +Pet
xk9rxv6k,VigkVagk
q254qvdo,Star Cup
9kvvy8kg,Any%
ndxmyj52,Normal Ending
vdo86qvk,Dreamcast
ndxpjev2,Rookie League
n2yo0rmd,Any%
7dg90plk,Single Stars (Luigi)
zdnqp0nd,"300,000 Points"
824xregd,Low% Hard
9kv9y02g,All Parts
w20z85dn,Any%
9d8gerwk,Arcade Mode (5 floors)
wdmom4kq,All Gold Bolts
mke5mljk,PC
9d83wql2,Rooster
02qj4pdy,City Trial Any%
9d83x0q2,LASO
zd3vm6n2,Glitched
7kjv6lnk,100%
xd1r98k8,All Missions
ndx51rok,Any% Normal Mode
vdojy92p,Amiga
ndx80v5k,100%
xd1vey8d,All-Star (Blindfolded)
8247ee25,PJ%
zdnrp0n2,Desert RTA
7kjyy4k3,Henry
5dwp5v0k,Cheat%
xk9ew620,Glitchless
824g7wg2,Debug%
mkeqxrxk,NG+
xd1mp1zd,Bad Ending
7dg4mr4d,Starless
zd396vdn,100%
jdz9og62,Exploration level 12
wk6nm6e2,Alternate Round - Any%
5dw4lwek,Extra Arcade
zd3w7nnk,Any%
jdrpgg52,All Puppies
q25e6xv2,All Cups
5dwyroek,Risky Mode
zd30nndn,100%
824jx3w2,Death Any%
xk9j38yd,Ending 1
wkpoqv2r,100% Popkaless
mkeo598d,Story Mode Singles
wdmxw6ok,Time Attack
jdrx5eld,All Tokens
7dggp0gd,Playstation
q256ryko,All easy tracks
zdnqrvnd,100% (PC)
jdr4zg26,All medium tracks
rkl3r58k,No HD
5dw4yx5k,IL
9kvyyl3k,All Sports +
wk6068rk,Arcade
vdoqr89k,Forest Temple
n2y5em8k,Any%
z27mx502,All Masks
n2y79n82,All Magicians
q254oe8d,Any%
7dgmxq4d,SMB2 Challenge
9zdn0e2q,100%
7kjoxog2,All Badges
wdm4ge5d,Shantae Mode
xk9g70yd,Courses 51-100
wdmmgodq,100%
wdmw08o2,Championship XFINITY Series
5dw5l40d,Consecutive LZS Jumps
zdnw1led,Any%
vdoo7q9d,All Achievements
9d8vy3kn,Top Ride Any%
zd3oz9rd,Execution
9d8gj66k,Survive% (No Wall Glitch)
xd1vle7d,All Levels
ndx1lor2,Stage Complete
5dwlwg2g,Second Quest Swordless
9d8o8e72,SNES
xk9038yk,RTA
w20n0odn,100%
q25j19gd,"Fastest Time, No Assist"
zd3lgy8d,Camping World Series
5dwjvy0k,Eight Silver Medals
7dg714d4,Any% 1P1C
wdm80j42,Extra
5dw9gz52,All Missions
02qpjx7d,All Courses (Demo)
7kjv3yxk,1 Loop (Game A)
xd1elnz2,1. Hedge Hopper
jdzrg32v,Arcade
9d8xle72,Tower of Spirits
jdzlw4r2,Any%
vdo93vdp,In-game time
z27o39od,Individual Levels
xd1rw4k8,New Game
xd1gn18d,Boss Rush
zdn8q7nd,Unrestricted Cheat%
xd14ee4d,Time Trial
zdn4npqk,All Blueprints
7dgyx4d4,Cheato%
9kvxo4e2,Low% 2nd Loop
824rjrwd,Any%
02qgn6zd,Jungle Slider
wkpoy0w2,Time Attack
xk9p1v6d,Genesis
9kvn60dg,Any%
ndx3lyjd,EMU Any% Glitchless
9d8yx5wk,Handgun Only
mke5zw6k,Chris
vdo045vd,Any%
wkpv0z8k,Single Stars (Mario)
xk9l1rvk,100 Lines
ndx8jerk,Mars
9kvyon8k,Any%
rklx738k,Gold Round
z27qj5k0,Beat phase 12
wkpy480k,Nitro Tracks
wdmqx7o2,Detonator (X360/PS3)
xd13pork,AlienCar%
9kvm7q8k,Damageless
5dw9qn2g,Single Segment
02qprvyd,Fire temple
824pggw2,100%
02qg44yd,All Missions
7dg077k4,Any%
ndx3nnrd,All Modes
9d83zy72,Solo +Pet
zdnqo5qd,All Levels All-Stars
wdmzyj42,Sega CD
7kjpz4zk,1 Warp
wk6zox21,Any% (No Credits Warp)
zdn1o9qk,Magnum Route
wkpj1wwk,Top Ride All Tracks
9d8eonld,Exhibition
7dgn1x72,Verum Rex
xd1oork8,Any%
9kvxrv82,Vortex
824nro3k,Individual L.E.A.F Quests
7kjpejnk,Guest Star ???? Star Allies Go!
wk6vqxd1,Any%
xk901jgk,Story Mode Any%
5dwg4jnk,Any%
xd1ezz72,Any% [NoBirds]
9d8v6l3k,All Crystal Stars
rklvgr8d,20 Masteries
jdz5v8gd,Any%
xd1384zk,Claire B
7dg5ogp2,Arcade
ndxe3yjk,Detonator
w203onv2,Individual Level Best Time (with mods)
zdnn507d,Arcade (Max)
q25m6ygd,Nuzlocke
xd14zywd,Lockdown
q2547njd,100%
mke6yjd6,Arcade
z276jood,Training
jdz7pxkv,New Game Normal
7kj3el42,All Characters
q25onmgk,The Duel
wdmv6ped,Challenge Mission All stages
q254w9vd,Time Race
9kvm4qek,Pacifist
zd3yjv2n,100%
7kjqr73d,Balloon Trip (Rank 1)
rklxw08k,Low%
rklgy96d,Act 2
7kjvevnk,All Cups (Medium)
02qggyzd,All Captains
9d8yxx3k,Star Pieces
7kjpw5xk,Courses 1-50
7kjpw44k,5 Golden Lil' Oinks
7kjgllxk,Darkwing Duck
q25ge58d,All Categories
jdzw6qxd,Original Edition - 1 Loop (Game A)
xk9porxd,Arcade (Any%)
ndxqy5kq,100%
jdz7yerk,Any%
xd1qzr28,Golf: 9 Holes
9kvv63kg,112% [PS1]
wkpjvgwk,Any% Normal
n2y1l8z2,Glitchless
vdoxo4yd,Fast Free Races NI
n2yq0qzk,All Cups (Easy)
mke49ox2,NG+ Any%
wdmxy43k,Any% No Major Glitches
824g7n25,Any%
zdnrw8q2,Normal
z273yw5d,L.E.A.F Quests
jdrqplgk,Speed Golf
xd1j37wd,Mini-Game Mode
rkl638kn,Any% [PS2/GC]
7dgn8q72,Orienteering
wk6n46x2,Very Hard
xk9jovgd,Whip Race
rklro5qk,Level 20 Petless
wdm4qe4d,Championship
xk96yyk0,Maria Only
wdmw5w42,Queen League
n2y148e2,Rumble Racing
w2039qv2,Exalt Tutorial Petless
xd173wwd,All Checkmarks
q254j4jd,Pro Rallycross
gjdregk6,Any% (No Item Glitch)
w201vvkn,Advanced
02q3qnyk,Any% 1p2c (PAL)
jdr5xxk6,20 Missions
z2716302,Individual Games
q2586ej2,Any% Solo
824xwoed,Katana Only
w20ygwvk,Treasure Hunt (1 vault)
02qoxpky,Any%
w201wx5k,Village Any%
ndx1yqj2,Advanced
zd309xrd,Beginner
824g7l32,100% (JP)
vdolp6dp,Bronze Round
5dw5p10d,Any% Swingless
zdn1x9nk,All Objectives
9kvxxg32,Best Ending
5dwjjw5k,Any%
xd13qmwk,1 Coin
02qx7zky,Any%
zdnrw1e2,Any%
jdrprpn2,Amateur National
q253yxjk,Any%
wk6eer21,Race
vdo07jyd,Any% Princess Only
wk6j1rd1,Poster Duty
mke9786d,Normal
wk6j4vod,Emulator
z276ozd0,Any%
9kvx8xe2,P2P
xd19l4k8,99%
z275ngk0,No Obvious Glitches (NTSC) (Legacy)
xd1r9v4k,Defeat Magus
ndx9plod,Any%
zdnrgn72,Any% Glitchless
jdz5603d,PSP
mke44wn2,Normal Slingshot
xd1l1nwk,All Courses (Main Game + Demo)
wdmzx952,Fastest Lap
02q9p6zk,Courses 91-100
w20w0p8d,Bad Ending
jdzpxexk,Any% Glitchless
7kjr3lx2,Race (PC)
zd388mek,All Races
mkeqly6k,Damageless
02qg71jd,10.2 Star
8246zqwd,Glitchless
vdox419d,Alt. Controllers
wdmxey5k,Hard
9d863jq2,Friends to the End
9kvpeqek,Finish
rkljy4nd,All Events
9d84y36k,Boss RTAs
z279ggd0,Echoes
vdoo4qyd,Alternate Round - All Bosses
wk6jn4xd,Campaign 2
zdn9ee2q,All Tracks
wdml19xk,TZA - Switch
wk6pp4pd,Single Levels: Difficulty Easy
n2y3lw8d,Mario Party
ndx71j2q,All Zones
02qjoydy,Banana Cup
zdnzmp9d,Any%
ndx967od,Multiple Games
jdz506dv,100% (PSP)
5dwpye0k,Any% Mario Only
7dgn73p2,Easy
ndxmwv2q,Golden Net
wdm83eo2,All Rampages (PSP)
zdn1q3nk,Extreme
wk6p61pd,Nine Gold Medals
7dgr54k4,Any% Popkaless
xd1mwy4d,Cheat%
wdmx4oek,Knife Only
n2yj0182,Arcade Level 1
jdz5y4rd,NG+
q25v78do,Any% NG+
wkpox8g2,BHS x100
q25855v2,"Any% Luigi Only, All-Stars"
w20yn8kn,All Levels
9d84z3kn,Extra Lightning Cup
zdnq339d,Any% (Arcade)
7dg0nylk,World Run
wk61y6rd,TZA - PS4/5
7kjz433d,Europe RTA
7dg9nxk4,Gym Leader Castle Round 1
vdo4my2p,32 Tracks
9d8jo6kn,Any%
wkpj47gk,Any% UFO
7kjq55nd,3 Stars
9kvxgeo2,100%
02qmzpzd,100% Richter Only
wk604jek,JP Version
vdo4pv2p,Jet Graffiti
02q3mn7k,First Debt
jdzw8mxd,Adventure
ndxm69o2,The Ultimate Choice
vdomvz12,TZA - Xbox One
w20ze5dn,Jet Flag/Dash
wk6o43rk,Any% No RNG
z27grqo2,2nd Loop
7kjr37x2,Campaign 3
ndxjzj2q,NG+ Any% (No Item Glitch)
7dg03vpk,All Objectives
n2yexgmk,30th Anniversary
824xylgd,Speed Golf Front Tees
9kvxpjj2,15 Puzzle%
02q9jwzk,Turbo NG+
ndx87gok,Platinum Round
824png25,Air Ride Any%
wkpjy5wk,All Bosses
5dwj0n0k,Any% No OoB
rkl3qjnk,Low%
5dwpz0kg,Pacifist (J)
rkle7r82,Time Attack
zd3jz82n,100%
5dw6vel2,Any%
zd383vek,Race Edition
7dgg5pgd,New Game + (JP)
lvdog92p,Time Attack
9kvovzo2,Weapon Master
jdrl740d,Air Ride 100%
7kjqry3d,Easy
zd3y882n,All Cups
wk67ymxd,Courses 31-40
5dw8jgdg,Grand Battle
9d8qj3dn,Any%
zdnx9rx2,Round 1
zd3x7ndn,Pay Off Debt
02qvp0zd,LASO
ndx4v312,Level 20 +Pet
7kjqlxzd,Whip Only
xd1317k8,Any% Popkaless
wdm8vro2,All Stamps
xd14198d,Any% - Two Hole Check
jdr93v0d,Puzzle Kombat (Standard)
n2yq1ozk,Story Mode All Tourneys
7dgm7z4d,Monkey Golf
9d84vwkn,NG+
jdz7963k,Glitchless
zd361gvd,Crash%
7dgn6672,Time Trial Race
5dw5pmgd,All Happiness Objects
7kj69rg2,Collect 'Em All Monotype
wdm9wekq,All Monkeys No IJ
wkp0eww2,any%
mndxlvdq,100%
xk99z6k0,Beat the Champion
wk613ned,Any% No Abilities
824pw1g2,NTSC
q25qm582,Table Tilt
zd3j482n,English
jdz814xd,Moon
7dgrjl7k,SoapCake%
zdn8mynd,All Training Missions
vdo33y9d,Superstar%
02q3wjky,All Characters
37dg47d4,Any%
mkelv7nd,Cage Match
jdzpxv6k,High score
02q8py2y,Any%
02qolyky,100%
